,ID,Age,Gender,Annual_Income,Credit_Score,Purchased_Product
0,1,25,Male,35000,650,0
1,2,30,Female,42000,700,1
2,3,35,Male,50000,750,1
3,4,40,Female,55000,800,1
4,5,45,Male,60000,850,1
5,6,25,Female,35000,650,0
6,7,30,Male,42000,700,0
7,8,35,Female,50000,750,0
8,9,40,Male,55000,800,0
9,10,45,Female,60000,850,1
10,11,25,Male,35000,650,0
11,12,30,Female,42000,700,0
12,13,35,Male,50000,750,1
13,14,40,Female,55000,800,0
14,15,45,Male,60000,850,1
15,16,25,Female,35000,650,0
16,17,30,Male,42000,700,0
17,18,35,Female,50000,750,0
18,19,40,Male,55000,800,0
19,20,45,Female,60000,850,0
20,21,25,Male,35000,650,0
21,22,30,Female,42000,700,0
22,23,35,Male,50000,750,1
23,24,40,Female,55000,800,0
24,25,45,Male,60000,850,1
25,26,25,Female,35000,650,0
26,27,30,Male,42000,700,1
27,28,35,Female,50000,750,0
28,29,40,Male,55000,800,1
29,30,45,Female,60000,850,1
30,31,25,Male,35000,650,0
31,32,30,Female,42000,700,0
32,33,35,Male,50000,750,1
33,34,40,Female,55000,800,1
34,35,45,Male,60000,850,1
35,36,25,Female,35000,650,0
36,37,30,Male,42000,700,0
37,38,35,Female,50000,750,1
38,39,40,Male,55000,800,0
39,40,45,Female,60000,850,1
40,41,25,Male,35000,650,0
41,42,30,Female,42000,700,0
42,43,35,Male,50000,750,1
43,44,40,Female,55000,800,1
44,45,45,Male,60000,850,1
45,46,25,Female,35000,650,0
46,47,30,Male,42000,700,1
47,48,35,Female,50000,750,1
48,49,40,Male,55000,800,1
49,50,45,Female,60000,850,1
50,51,25,Male,35000,650,1
51,52,30,Female,42000,700,0
52,53,35,Male,50000,750,0
53,54,40,Female,55000,800,1
54,55,45,Male,60000,850,1
55,56,25,Female,35000,650,0
56,57,30,Male,42000,700,0
57,58,35,Female,50000,750,1
58,59,40,Male,55000,800,1
59,60,45,Female,60000,850,1
60,61,25,Male,35000,650,0
61,62,30,Female,42000,700,0
62,63,35,Male,50000,750,1
63,64,40,Female,55000,800,1
64,65,45,Male,60000,850,1
65,66,25,Female,35000,650,0
66,67,30,Male,42000,700,1
67,68,35,Female,50000,750,1
68,69,40,Male,55000,800,0
69,70,45,Female,60000,850,1
70,71,25,Male,35000,650,0
71,72,30,Female,42000,700,1
72,73,35,Male,50000,750,0
73,74,40,Female,55000,800,1
74,75,45,Male,60000,850,0
75,76,25,Female,35000,650,1
76,77,30,Male,42000,700,0
77,78,35,Female,50000,750,1
78,79,40,Male,55000,800,1
79,80,45,Female,60000,850,1
80,81,25,Male,35000,650,1
81,82,30,Female,42000,700,0
82,83,35,Male,50000,750,1
83,84,40,Female,55000,800,1
84,85,45,Male,60000,850,1
85,86,25,Female,35000,650,0
86,87,30,Male,42000,700,0
87,88,35,Female,50000,750,1
88,89,40,Male,55000,800,1
89,90,45,Female,60000,850,0
90,91,25,Male,35000,650,0
91,92,30,Female,42000,700,1
92,93,35,Male,50000,750,1
93,94,40,Female,55000,800,0
94,95,45,Male,60000,850,1
95,96,25,Female,35000,650,0
96,97,30,Male,42000,700,1
97,98,35,Female,50000,750,1
98,99,40,Male,55000,800,0
99,100,45,Female,60000,850,1
